UP_id	tax_group
UniRef50_A0A2D6FJF3	Bacteria
UniRef50_A0A2D6FJF7	Bacteria
UniRef50_A0A2D6FJJ0	Bacteria
UniRef50_A0A2D6FJM5	Bacteria
UniRef50_A0A2D6FJR3	Bacteria
UniRef50_A0A2D6FJR6	Bacteria
UniRef50_A0A2D6FJS0	Bacteria
UniRef50_A0A2D6FJX1	Bacteria
UniRef50_A0A2D6FJX8	Bacteria
UniRef50_A0A2D6FK48	Bacteria
UniRef50_A0A2D6FKD4	Bacteria
UniRef50_A0A2D6FKD6	Bacteria
UniRef50_A0A2D6FKE7	Bacteria
UniRef50_A0A2D6FKF0	Bacteria
UniRef50_A0A2D6FKX5	Bacteria
UniRef50_A0A2D6FL68	Bacteria
UniRef50_A0A2D6FL91	Bacteria
UniRef50_A0A2D6FLA4	Bacteria
UniRef50_A0A2D6FLT7	Bacteria
UniRef50_A0A2D6FLU7	Bacteria
UniRef50_A0A2D6FLX5	Bacteria
UniRef50_A0A2D6FM17	Bacteria
UniRef50_A0A2D6FM23	Bacteria
UniRef50_A0A2D6FM54	Bacteria
UniRef50_A0A2D6FM75	Bacteria
UniRef50_A0A2D6FM79	Bacteria
UniRef50_A0A2D6FMA3	Bacteria
UniRef50_A0A2D6FMJ9	Bacteria
UniRef50_A0A2D6FMM9	Bacteria
UniRef50_A0A2D6FMN7	Bacteria
UniRef50_A0A2D6FNC6	Bacteria
UniRef50_A0A2D6FNI6	Bacteria
UniRef50_A0A2D6FNL2	Bacteria
UniRef50_A0A2D6FVQ9	Bacteria
UniRef50_A0A2D6FXR7	Bacteria
UniRef50_A0A2D6FYD7	Bacteria
UniRef50_A0A2D6FZ42	Bacteria
UniRef50_A0A2D6G1E4	Bacteria
UniRef50_A0A2D6G2B0	Bacteria
UniRef50_A0A2D6G542	Bacteria
UniRef50_A0A2D6G792	Archaea
UniRef50_A0A2D6G796	Archaea
UniRef50_A0A2D6G7X2	Archaea
UniRef50_A0A2D6G801	Archaea
UniRef50_A0A2D6GAD9	Bacteria
UniRef50_A0A2D6GF58	Bacteria
UniRef50_A0A2D6GSB1	Bacteria
UniRef50_A0A2D6GWG1	Bacteria
UniRef50_A0A2D6HC50	Bacteria
UniRef50_A0A2D6HHY0	Bacteria
UniRef50_A0A2D6HKV3	Bacteria
UniRef50_A0A2D6HZ02	Bacteria
UniRef50_A0A2D6HZ06	Bacteria
UniRef50_A0A2D6HZ17	Bacteria
UniRef50_A0A2D6HZ84	Bacteria
UniRef50_A0A2D6HZC5	Bacteria
UniRef50_A0A2D6I9U7	Bacteria
UniRef50_A0A2D6IAL9	Bacteria
UniRef50_A0A2D6IJM7	Bacteria
UniRef50_A0A2D6IKI5	Bacteria
UniRef50_A0A2D6IKM2	Bacteria
UniRef50_A0A2D6IKN6	Bacteria
UniRef50_A0A2D6IKZ3	Bacteria
UniRef50_A0A2D6IM43	Bacteria
UniRef50_A0A2D6INS5	Bacteria
UniRef50_A0A2D6IP30	Bacteria
UniRef50_A0A2D6J0D5	Bacteria
UniRef50_A0A2D6J1Y8	Bacteria
UniRef50_A0A2D6JCB0	Archaea
UniRef50_A0A2D6JCN1	Archaea
UniRef50_A0A2D6JCS3	Archaea
UniRef50_A0A2D6JCV4	Archaea
UniRef50_A0A2D6JHL2	Bacteria
UniRef50_A0A2D6JLE1	Bacteria
UniRef50_A0A2D6JLM7	Bacteria
UniRef50_A0A2D6JLT8	Bacteria
UniRef50_A0A2D6JRT9	Bacteria
UniRef50_A0A2D6JSR7	Bacteria
UniRef50_A0A2D6JT68	Bacteria
UniRef50_A0A2D6JU98	Bacteria
UniRef50_A0A2D6JUY7	Bacteria
UniRef50_A0A2D6JW85	Bacteria
UniRef50_A0A2D6JWD6	Bacteria
UniRef50_A0A2D6JX08	Bacteria
UniRef50_A0A2D6JXL4	Bacteria
UniRef50_A0A2D6JXN2	Bacteria
UniRef50_A0A2D6JYD6	Bacteria
UniRef50_A0A2D6K0S1	Bacteria
UniRef50_A0A2D6K132	Bacteria
